,ID,foreign,name,Adopsi TIK,Infrastruktur,Kapabilitas Inovasi,Keterampilan,Pasar Tenaga Kerja,Stabilitas Ekonomi,IRBI
196,ID3310,33,KABUPATEN KLATEN,4.34,3.32,2.32,3.9,3.26,3.11,94.09
197,ID3311,33,KABUPATEN SUKOHARJO,4.7,3.07,3.98,3.82,3.36,3.43,71.27
198,ID3312,33,KABUPATEN WONOGIRI,4.28,2.61,2.4,3.45,2.93,3.1,97.24
199,ID3313,33,KABUPATEN KARANGANYAR,4.45,2.6,3.36,3.6,3.25,3.01,102.77
200,ID3314,33,KABUPATEN SRAGEN,4.38,3.02,1.99,3.25,3.24,3.08,114.91
201,ID3315,33,KABUPATEN GROBOGAN,4.32,3.28,1.77,3.05,3.3,3.35,97.03
202,ID3316,33,KABUPATEN BLORA,4.41,2.68,1.85,3.18,2.98,2.92,119.58
203,ID3317,33,KABUPATEN REMBANG,4.18,1.78,2.01,3.22,2.98,3.55,126.95
204,ID3318,33,KABUPATEN PATI,4.51,1.51,1.95,3.45,3,3.31,150.21
205,ID3319,33,KABUPATEN KUDUS,4.59,2.3,3,3.57,2.73,3,90.23
206,ID3320,33,KABUPATEN JEPARA,4.46,2.29,3.26,3.34,2.75,3.48,129.86
207,ID3321,33,KABUPATEN DEMAK,4.35,2,2.27,3.41,3.06,3.23,97.71
208,ID3322,33,KABUPATEN SEMARANG,4.55,3.04,2.91,3.28,2.91,3.46,99.41
209,ID3323,33,KABUPATEN TEMANGGUNG,4.24,2.4,1.89,3.23,2.99,3.42,116.84
210,ID3324,33,KABUPATEN KENDAL,4.48,2.55,2.11,3.22,2.88,2.95,91.74
211,ID3325,33,KABUPATEN BATANG,4.28,2.68,1.61,3.11,2.81,3.13,143.13
212,ID3326,33,KABUPATEN PEKALONGAN,4.42,1.98,2.5,3.09,3.22,3.18,149.83
213,ID3327,33,KABUPATEN PEMALANG,4.41,2.02,2.18,2.96,3.1,2.6,115.11
214,ID3328,33,KABUPATEN TEGAL,4.48,2.92,1.92,2.98,3.27,2.73,126.26
215,ID3329,33,KABUPATEN BREBES,4.3,2.71,2.02,3.25,3,2.81,155.35
216,ID3371,33,KOTA MAGELANG,4.92,3.18,3.65,4.42,3.59,3.31,102.08
217,ID3372,33,KOTA SURAKARTA,4.79,3.04,4.66,4.45,3.48,3.76,49.5
218,ID3373,33,KOTA SALATIGA,4.98,3.39,4.78,4.53,3.37,3.42,83.98
219,ID3374,33,KOTA SEMARANG,4.86,3.61,4.04,4.14,3.37,3.68,99.41
220,ID3375,33,KOTA PEKALONGAN,4.72,2.4,2.86,3.78,2.99,3.3,149.83
221,ID3376,33,KOTA TEGAL,4.54,2.81,3.21,3.79,3.27,3.26,126.26
222,ID3401,34,KABUPATEN KULON PROGO,4.53,2.46,1.56,4.17,3.03,3.73,140.98
223,ID3402,34,KABUPATEN BANTUL,4.67,2.66,4.8,3.87,3.76,3.24,149.27
224,ID3403,34,KABUPATEN GUNUNG KIDUL,4.2,2.31,1.46,3.81,3.27,3.39,106.55
225,ID3404,34,KABUPATEN SLEMAN,4.9,2.51,4.84,4.54,3.69,3.49,77.33
226,ID3471,34,KOTA YOGYAKARTA,4.94,3.02,3.93,4.2,3.99,3.06,66.62
227,ID3501,35,KABUPATEN PACITAN,4.02,1.95,1.87,3.44,2.7,3.3,128.57
228,ID3502,35,KABUPATEN PONOROGO,4.56,1.75,2.88,3.34,3.06,3.04,108.61
229,ID3503,35,KABUPATEN TRENGGALEK,4.26,2.38,1.78,3.24,2.58,2.82,116.44
230,ID3504,35,KABUPATEN TULUNGAGUNG,4.62,2.72,2.32,3.39,3.09,2.95,125.29
231,ID3505,35,KABUPATEN BLITAR,4.75,3.35,1.62,3.35,2.7,3.15,149.35
232,ID3506,35,KABUPATEN KEDIRI,4.38,3.02,2.39,3.34,3.1,3.24,110.61
233,ID3507,35,KABUPATEN MALANG,4.42,3.1,2.89,2.98,2.38,3.17,132.49
234,ID3508,35,KABUPATEN LUMAJANG,3.97,2.76,2.12,2.85,2.56,3.16,131.03
235,ID3509,35,KABUPATEN JEMBER,3.88,3.26,3.3,2.99,2.77,3.21,148.78
236,ID3510,35,KABUPATEN BANYUWANGI,4.09,3.29,2.55,3.15,2.89,3.44,125.32
237,ID3511,35,KABUPATEN BONDOWOSO,3.65,2.21,2.09,3.02,2.58,2.86,113.69
238,ID3512,35,KABUPATEN SITUBONDO,3.7,2,2.26,3.02,2.95,3.23,110.33
239,ID3513,35,KABUPATEN PROBOLINGGO,3.74,2.81,2.22,2.93,2.66,3.24,160.55
240,ID3514,35,KABUPATEN PASURUAN,4.01,2.97,2.43,3.58,2.07,3.32,133.08
241,ID3515,35,KABUPATEN SIDOARJO,4.7,2.89,3.41,3.99,2.73,3.36,97.64
242,ID3516,35,KABUPATEN MOJOKERTO,4.24,1.94,2.57,3.68,2.33,3.3,135.88
243,ID3517,35,KABUPATEN JOMBANG,4.46,2.83,3.27,3.65,2.96,3.24,132.17
244,ID3518,35,KABUPATEN NGANJUK,4.23,3.1,1.97,3.4,2.94,3.16,98.38
245,ID3519,35,KABUPATEN MADIUN,4.34,2.24,1.41,3.53,3.58,3.24,128.75
246,ID3520,35,KABUPATEN MAGETAN,4.62,2.05,1.18,3.62,3.34,3,107.52
247,ID3521,35,KABUPATEN NGAWI,4.35,2.73,1.93,3.29,2.95,3.14,118.76
248,ID3522,35,KABUPATEN BOJONEGORO,4.12,2.54,2.46,3.14,2.95,2.45,88.75
249,ID3523,35,KABUPATEN TUBAN,4.15,2.27,2.12,3.23,2.59,3.44,131.91
250,ID3524,35,KABUPATEN LAMONGAN,4.3,2.97,2.55,3.83,2.88,3.48,126.76
251,ID3525,35,KABUPATEN GRESIK,4.63,2.93,3.05,3.54,2.64,3.42,110.54
252,ID3526,35,KABUPATEN BANGKALAN,4.01,2.49,3.68,2.48,2.82,1.83,117.7
253,ID3527,35,KABUPATEN SAMPANG,4.17,2.62,1.91,2.57,2.81,3.25,110.43
254,ID3528,35,KABUPATEN PAMEKASAN,4.1,2.61,2.6,3.1,2.81,3.58,120.46
255,ID3529,35,KABUPATEN SUMENEP,3.86,2.46,2.55,3.39,2.84,3.3,137.43
256,ID3571,35,KOTA KEDIRI,4.87,3.34,3.16,4.36,3.53,2.93,110.61
257,ID3572,35,KOTA BLITAR,4.99,3.57,3.01,4.36,3.58,3.2,149.35
258,ID3573,35,KOTA MALANG,4.87,4.15,4.74,4.13,4.16,3.36,132.49
259,ID3574,35,KOTA PROBOLINGGO,4.59,3.5,2.13,3.99,3.24,3.28,160.55
260,ID3575,35,KOTA PASURUAN,4.79,2.78,2.64,4.1,2.76,3.2,133.08
261,ID3576,35,KOTA MOJOKERTO,4.98,2.37,2.36,4.4,3.31,3.53,135.88
262,ID3577,35,KOTA MADIUN,4.85,3.81,3.66,4.55,3.76,2.75,128.75
263,ID3578,35,KOTA SURABAYA,4.93,3.63,4.64,4.1,3.07,3.39,129.88
264,ID3579,35,KOTA BATU,4.72,2.76,1.91,3.96,2.88,3.09,95.85
265,ID3601,36,KABUPATEN PANDEGLANG,3.81,2.01,1.79,2.68,2.83,2.08,169.21
266,ID3602,36,KABUPATEN LEBAK,3.78,3.23,1.72,2.53,2.7,2.37,172.98
267,ID3603,36,KABUPATEN TANGERANG,4.57,3.42,3.69,3.37,3.1,3.04,141.43
268,ID3604,36,KABUPATEN SERANG,4.2,3.32,2.49,2.95,3.55,2.79,140.12
